image,ground_truth,prediction,CER_score
test061_1.jpg,AA1971KJ,AAA1971KJ,0.125
test043_1.jpg,W1898YW,ISW1898Y,0.4286
test045_1.jpg,S1347LJ,S1347LJ,0.0
test056_1.jpg,N924CIA,N924CIA,0.0
test099_2.jpg,B1892WZT,ISB1892WZT,0.25
test054_2.jpg,N1084AAO,N1084AAD,0.125
test052_3.jpg,N4980KJ,4980KJ,0.1429
test084_1.jpg,B1158PYP,B1168PYP,0.125
test047_1.jpg,N1524SY,N1524SYS,0.1429
test046_2.jpg,L1265MX,L1265MX,0.0
test066_1.jpg,T1220HS,120HS,0.2857
test080_2.jpg,B1861TOI,B1861YT,0.375
test079_1.jpg,T1688GY,IST1688GY,0.2857
test025_4.jpg,9840VU,98840,0.5
test049_1.jpg,N1376DE,ISN1376DE,0.2857
test075_1.jpg,G2474XZ,ISC201XL,1.0
test033_2.jpg,L2693GA,L2693CA,0.1429
test091_2.jpg,B9721KXV,ISB9721KXXV,0.375
test052_2.jpg,N5235ABX,N5235ABX,0.0
test095_2.jpg,B2310JUK,B2310JUK,0.0
test005_1.jpg,DD8798KM,DDD2798KM,0.25
test033_3.jpg,W9847G,884,0.6667
test044_2.jpg,N1004HE,ISN1004HE,0.2857
test058_2.jpg,N5829KJ,THEMAININDONESIANLICENSEPLATEINTHEIMAGEISN50289KJ,6.1429
test076_1.jpg,G2151ASF,G2151ASF,0.0
test076_2.jpg,E500MA,E500M,0.1667
test027_2.jpg,B1109CLR,ISB1109CLR,0.25
test060_2.jpg,M1457ITA,M1457TA,0.125
test022_1.jpg,W1825OZ,THEMAININDONESIANLICENSEPLATEINTHEIMAGEISW18250Z,6.0
test097_2.jpg,B6354SVL,B6354SVL,0.0
test004_1.jpg,B9062VEH,9062YEH,0.25
test096_1.jpg,B1354COJ,ISB1356C,0.625
test009_2.jpg,K1649GB,K1649GB,0.0
test058_1.jpg,N3153ACB,N3153ACB,0.0
test061_2.jpg,BD1146DH,BD1146DH,0.0
test056_2.jpg,N1623HB,N1623HB,0.0
test011_2.jpg,B9374RI,B9331B1,0.5714
test026_2.jpg,L3836ZX,L3836XZ,0.2857
test083_1.jpg,F5052AAE,F5052AAE,0.0
test037_2.jpg,L300RX,300RXI,0.3333
test074_2.jpg,B1081CMR,B1081CMR,0.0
test086_2.jpg,B1556NRC,B1566NRC,0.125
test001_3.jpg,B2842PKM,ISB2842PKM,0.25
test022_2.jpg,L1202UE,L1202,0.2857
test032_1.jpg,B2754SKY,B2734SKY,0.125
test088_1.jpg,B2190TYB,ISB2190TYB,0.25
test087_1.jpg,B6823WXR,B6823WXR,0.0
test028_1.jpg,L1438EO,E08,0.8571
test081_1.jpg,F8097BD,8097BD,0.1429
test049_2.jpg,N79AP,N79AP,0.0
test095_3.jpg,B28YHH,B28YYH,0.1667
test057_1.jpg,N1342T,N1342T,0.0
test083_2.jpg,F5452CQ,F5452CO,0.1429
test060_1.jpg,L1846JE,ISL1846JE,0.2857
test021_1.jpg,BA1709DW,BA1709DW,0.0
test020_2.jpg,AD1329PY,AD1328PY,0.125
test051_1.jpg,N1718HC,N1718HC,0.0
test007_1.jpg,AD8865EE,AD8865EE,0.0
test008_1.jpg,DK1157AAB,SDK1157AAB,0.1111
test063_1.jpg,S1208BI,S1208BI,0.0
test075_3.jpg,7066OF,70600,0.5
test053_1.jpg,N1365AAO,N1365AAA,0.125
test071_1.jpg,G9545AG,G9565AG,0.1429
test069_1.jpg,AA1138AK,AAA1138,0.375
test003_2.jpg,B1995JVK,ISB1995JVK,0.25
test035_1.jpg,L9643NN,L9643,0.2857
test096_2.jpg,B1502NRO,B1502NRO,0.0
test068_1.jpg,B2310UZS,ISB2310UZS,0.25
test085_3.jpg,B2560SKZ,B2560SKZ,0.0
test080_3.jpg,D1160ADE,D1160ADE,0.0
test087_4.jpg,4039NHR,40339MHRR,0.4286
test099_1.jpg,B2017PBQ,ISB2017PBQ,0.25
test058_3.jpg,N1780JL,N1780JL,0.0
test022_3.jpg,L3823IB,THEMAININDONESIANLICENSEPLATEINTHEIMAGEISL382302,6.1429
test044_1.jpg,L1930KF,1930KF,0.1429
test080_1.jpg,D77HSB,ISD77HSB,0.3333
test056_3.jpg,L1430HF,HF1430,0.5714
test087_2.jpg,B6317NXK,THEMAININDONESIANLICENSEPLATEINTHEIMAGEISB63317NXX,5.375
test081_2.jpg,F1992AM,F1982,0.4286
test029_1.jpg,W1518WF,W156,0.5714
test029_3.jpg,L1588OO,L1588,0.2857
test036_1.jpg,B1231JJA,B1234ABC,0.5
test038_2.jpg,L1877ACU,ISL1887ACU,0.375
test055_1.jpg,N1610KS,ISN1610KS,0.2857
test048_1.jpg,L9316BC,L9316BC,0.0
test031_1.jpg,L1560JQ,THEMAININDONESIANLICENSEPLATEINTHEIMAGEISL156004,6.1429
test021_2.jpg,W1236VZ,W1236VZ,0.0
test029_2.jpg,G1986N,G1986N,0.0
test026_1.jpg,N9652DF,9652DE,0.2857
test018_1.jpg,L7603UA,7603UA,0.1429
test025_1.jpg,S5585LP,5585,0.4286
test052_1.jpg,N6497KS,N6297KS,0.1429
test037_3.jpg,L1879VG,L1879VC,0.1429
test097_1.jpg,B1650NOG,B1650NOG,0.0
test076_3.jpg,G4689SN,THEMAININDONESIANLICENSEPLATEINTHEIMAGEISG63089SN,6.1429
test043_2.jpg,W1470PG,W1460PG,0.1429
test011_3.jpg,D1204AIG,D1204AIG,0.0
test003_1.jpg,B2634UZF,ISB2634UZF,0.25
test048_2.jpg,W1838AY,W1838AY,0.0
test025_2.jpg,L2858RR,L285BRR,0.1429
test019_2.jpg,B1959WYK,ISB1959WYK,0.25
test035_2.jpg,L5247GI,5217CI,0.4286
test092_1.jpg,B1104AAA,B1104AAA,0.0
test073_2.jpg,A1330FP,A1330FP,0.0
test042_1.jpg,AD1174SF,AD1173SF,0.125
test089_3.jpg,B1246KRK,B1234ABC,0.625
test059_2.jpg,B9162FXU,ISB9162FXU,0.25
test084_2.jpg,B1242VOY,B1234ABC,0.625
test090_1.jpg,T9314E,931,0.5
test011_1.jpg,H1691IL,H1691IL,0.0
test075_2.jpg,G9173BP,G9173BP,0.0
test047_2.jpg,L1678ACE,L1678ACE,0.0
test006_1.jpg,T1329KC,THEMAININDONESIANLICENSEPLATEINTHEIMAGEIST13291,6.1429
test034_1.jpg,L1811SU,L1811SU,0.0
test033_4.jpg,L1762ABJ,THEMAININDONESIANLICENSEPLATEINTHEIMAGEISABJ17620,5.625
test082_2.jpg,B9093UEX,B9033,0.5
test029_4.jpg,L1436AAA,L1234AAA,0.25
test050_1.jpg,L1265OF,L1265OF,0.0
test059_1.jpg,W8774PA,ISW8771PA,0.4286
test034_2.jpg,W1167VO,N1167VB,0.2857
test033_1.jpg,L4561VK,THEMAININDONESIANLICENSEPLATEINTHEIMAGEISL46561VK,6.0
test020_1.jpg,AG8634EK,AC86,0.625
test062_2.jpg,AE7244S,AE71234S,0.2857
test014_1.jpg,B1388DFX,B1388DFX,0.0
test092_2.jpg,T1579FN,THEMAININDONESIANLICENSEPLATEINTHEIMAGEIST15679FN,6.0
test086_1.jpg,B1291NOJ,B1234ABC,0.625
test023_1.jpg,B1730JLO,B1730JL,0.125
test034_3.jpg,S6131OCF,THEMAININDONESIANLICENSEPLATEINTHEIMAGEISS65131OCF,5.25
test009_1.jpg,H8518NA,H8518,0.2857
test082_1.jpg,E1824YZ,E1824YZ,0.0
test001_2.jpg,B2407UZO,ISB2407UZO,0.25
test030_1.jpg,S8062NF,8062NF,0.1429
test008_2.jpg,AA1997FE,AA1997FE,0.0
test012_1.jpg,E1887BA,ISE1887BA,0.2857
test072_1.jpg,BG1870IB,BG1870IB,0.0
test010_1.jpg,B9416PCN,B9616PCN,0.125
test070_2.jpg,B2597BYK,ISB2597BYK,0.25
test002_1.jpg,BG1352AE,BCG13562AE,0.25
test025_3.jpg,W1185ZO,THEMAININDONESIANLICENSEPLATEINTHEIMAGEISW118503,6.1429
test092_3.jpg,B2346POC,B2346POC,0.0
test068_2.jpg,G1264CM,G1234CM,0.1429
test034_4.jpg,L2570AAD,L2570AAD,0.0
test090_2.jpg,N9579U,N0579U,0.1667
test027_3.jpg,L1840AA,L1840AAM,0.1429
test073_1.jpg,T1187HB,THEMAININDONESIANLICENSEPLATEINTHEIMAGEIST18707,6.1429
test031_3.jpg,L1932AAZ,ISL1932AAAZ,0.375
test017_1.jpg,AD8982FS,AD8982FS,0.0
test046_1.jpg,L1470ABK,L1470ABK,0.0
test089_2.jpg,A8406ZE,A86ZE,0.2857
test085_2.jpg,B2938FVJ,ISB2938FVJ,0.25
test040_1.jpg,S1595LL,S1595LL,0.0
test067_1.jpg,L1855BR,L1855BR,0.0
test064_1.jpg,AE8137G,AE8137G,0.0
test028_2.jpg,L1436AAA,L1436AAA,0.0
test013_1.jpg,B1439UZP,B133UZP,0.25
test015_1.jpg,AD1798BT,SAD1798B,0.25
test041_1.jpg,B1231JJA,B1234ABC,0.5
test030_2.jpg,G1894TE,TEG0328,1.0
test098_1.jpg,B1779DOB,B1779DOB,0.0
test088_2.jpg,B1902VKA,ISB1902VKA,0.25
test089_1.jpg,D8609N,D8609,0.1667
test067_2.jpg,AB1274EV,AB1276EV,0.125
test010_2.jpg,H1147UY,THEMAININDONESIANLICENSEPLATEINTHEIMAGEISH11234UY,6.2857
test054_1.jpg,N1077AAK,N1077AAK,0.0
test037_1.jpg,L1775VO,ISL175V,0.5714
test031_2.jpg,L1568QO,ISL1568Q,0.4286
test095_1.jpg,B1201KAD,B1201KAD,0.0
test091_1.jpg,B2910KZW,ISB2910KZW,0.25
test035_3.jpg,L2498AAM,ISL2260AAM,0.625
test079_2.jpg,A1260AJ,A126CAJ,0.1429
test019_1.jpg,AD7HS,AD7HS,0.0
test027_1.jpg,N1905IG,N1905IG,0.0
test066_2.jpg,H1790ZY,H1790ZY,0.0
test057_2.jpg,N4145AB,H4165AB,0.2857
test087_3.jpg,F2215FCQ,F2215FCO,0.125
test100_2.jpg,B2134PZJ,8213PZ,0.375
test100_1.jpg,B1071PRG,B1071PRG,0.0
test078_1.jpg,H1413DH,ISH143DH,0.4286
test013_2.jpg,B1128WOS,ISB1128WOS,0.25
test065_1.jpg,H1706SW,H1706SW,0.0
test050_2.jpg,N1095G,N1095G,0.0
test039_1.jpg,L1069VK,L10689,0.4286
test024_1.jpg,B2964TRU,B2964TRU,0.0
test001_1.jpg,B9140BCD,B9140BCD,0.0
test094_1.jpg,G1255EJ,G1234ABC,0.7143
test035_4.jpg,W1696YO,W1696YO,0.0
test032_2.jpg,W1192K,W1192K,0.0
test085_1.jpg,B1315KIF,B1315KIF,0.0
test093_1.jpg,B2026BIU,B2026BUI,0.25
test062_1.jpg,B9654PEU,B965,0.5
test077_1.jpg,G1754QZ,G17502,0.4286
test057_3.jpg,N1396AAH,N1396AAH,0.0
test036_2.jpg,B1618UAE,B1618UAE,0.0
test074_1.jpg,G1368GE,THEMAININDONESIANLICENSEPLATEINTHEIMAGEISG136813,6.1429
test070_1.jpg,B2160TOB,B2160TOB,0.0
test016_1.jpg,E1517DQ,E1517DO,0.1429
test038_1.jpg,D1523YCN,D1523YCN,0.0
